area_code,area_name,census_geography,all_families,no_children,one_child_under_4,one_child_5_to_11,one_child_12_to_18,two_children_under_4,two_children_5_to_11,two_children_12_to_18,three_children_under_4,three_children_5_to_11,three_children_12_to_18,one_child_all,two_children_all,three_children_all,one_child_all_perc,two_children_all_perc,three_children_all_perc,centroid_x,centroid_y
W01001825,Cardiff 029D,lsoa,468,265,55,16,27,46,26,10,13,9,1,98,82,23,20.9,17.5,4.9,320471.2572158646,178077.523180278
W01001875,Cardiff 037C,lsoa,716,319,73,47,48,75,49,23,54,22,6,168,147,82,23.5,20.5,11.5,321300.4592102816,176861.40127526995
W01001828,Cardiff 024D,lsoa,486,335,15,11,39,18,29,18,11,10,0,65,65,21,13.4,13.4,4.3,320299.15894635057,178900.51173020474
W01001868,Cardiff 022D,lsoa,433,229,17,23,46,32,28,18,23,14,3,86,78,40,19.9,18.0,9.2,322010.5197306038,179549.00423104814
W01001883,Cardiff 016C,lsoa,440,224,43,13,42,26,29,14,26,18,5,98,69,49,22.3,15.7,11.1,323115.9145795123,180503.62492457664
W01001884,Cardiff 013D,lsoa,404,114,58,39,42,34,35,15,48,17,2,139,84,67,34.4,20.8,16.6,323797.3879479243,180700.30339931662
W01001841,Cardiff 003A,lsoa,608,294,50,39,60,38,55,23,26,22,1,149,116,49,24.5,19.1,8.1,320329.08775458595,182754.37346167152
W01001882,Cardiff 011C,lsoa,563,278,61,26,47,51,46,17,23,12,2,134,114,37,23.8,20.2,6.6,324870.43581255013,180976.1092935418
W01001843,Cardiff 003C,lsoa,657,322,69,37,57,59,47,19,24,13,10,163,125,47,24.8,19.0,7.2,322733.18905566714,182591.84120133283
W01001842,Cardiff 003B,lsoa,538,257,91,27,39,53,32,16,13,8,2,157,101,23,29.2,18.8,4.3,321240.7082033047,183433.37667911957
W01001803,Cardiff 015A,lsoa,428,237,22,24,40,30,32,13,22,4,4,86,75,30,20.1,17.5,7.0,322211.1570869292,180247.56574680016
W01001805,Cardiff 015C,lsoa,405,194,33,22,44,40,20,14,24,12,2,99,74,38,24.4,18.3,9.4,321596.4101043559,180453.91432741637
W01001811,Cardiff 009A,lsoa,422,174,28,20,34,48,28,14,53,19,4,82,90,76,19.4,21.3,18.0,320892.52513633046,180477.00077959005
W01001823,Cardiff 029B,lsoa,359,172,42,17,34,41,23,10,10,9,1,93,74,20,25.9,20.6,5.6,319687.90128276823,178108.21388617714
W01001865,Cardiff 022C,lsoa,391,236,24,15,36,22,25,14,10,8,1,75,61,19,19.2,15.6,4.9,321965.15128197754,178202.9104247234
W01001876,Cardiff 037D,lsoa,423,182,50,25,51,42,28,7,25,13,0,126,77,38,29.8,18.2,9.0,320812.29467152053,177348.12850156237
W01001799,Cardiff 001D,lsoa,355,226,12,3,25,16,23,25,8,16,1,40,64,25,11.3,18.0,7.0,318474.7023998587,182283.07708122753
W01001844,Cardiff 003D,lsoa,618,291,73,39,69,48,43,14,21,15,5,181,105,41,29.3,17.0,6.6,320785.69507312286,182065.03534313262
W01001783,Cardiff 026E,lsoa,373,199,22,15,35,25,33,24,6,13,1,72,82,20,19.3,22.0,5.4,313850.8666340961,179335.12842716696
W01001790,Cardiff 023F,lsoa,335,175,25,17,31,25,27,12,14,9,0,73,64,23,21.8,19.1,6.9,315265.0054912311,179229.61493339727
W01001757,Cardiff 025C,lsoa,286,133,37,17,21,20,19,9,17,12,1,75,48,30,26.2,16.8,10.5,317275.0227764844,178985.37149432627
W01001774,Cardiff 018D,lsoa,428,251,22,12,29,41,33,18,15,5,2,63,92,22,14.7,21.5,5.1,317099.3418083176,179966.96331610254
W01001733,Cardiff 019B,lsoa,388,234,18,8,36,17,33,12,8,19,3,62,62,30,16.0,16.0,7.7,319266.44970719743,179964.98609239905
W01001812,Cardiff 017C,lsoa,392,200,29,17,37,24,33,14,17,17,4,83,71,38,21.2,18.1,9.7,319881.2394315599,180234.27738073564
W01001806,Cardiff 015D,lsoa,466,301,27,18,39,12,39,12,8,7,3,84,63,18,18.0,13.5,3.9,321317.65130765154,179803.20573472613
