area_code,area_name,census_geography,long_term_health_all,limited_lots,limited_little,limited_none,limited_lots_perc,limited_little_perc,limited_none_perc,centroid_x,centroid_y
W01001884,Cardiff 013D,lsoa,1374,150,120,1104,10.9,8.7,80.3,323797.3879479243,180700.30339931662
W01001841,Cardiff 003A,lsoa,2025,127,111,1787,6.3,5.5,88.2,320329.08775458595,182754.37346167152
W01001882,Cardiff 011C,lsoa,1824,126,125,1573,6.9,6.9,86.2,324870.43581255013,180976.1092935418
W01001843,Cardiff 003C,lsoa,2167,83,104,1980,3.8,4.8,91.4,322733.18905566714,182591.84120133283
W01001842,Cardiff 003B,lsoa,1748,50,85,1613,2.9,4.9,92.3,321240.7082033047,183433.37667911957
W01001803,Cardiff 015A,lsoa,1573,300,167,1106,19.1,10.6,70.3,322211.1570869292,180247.56574680016
W01001805,Cardiff 015C,lsoa,1490,177,176,1137,11.9,11.8,76.3,321596.4101043559,180453.91432741637
W01001811,Cardiff 009A,lsoa,1503,159,157,1187,10.6,10.4,79.0,320892.52513633046,180477.00077959005
W01001823,Cardiff 029B,lsoa,1334,66,86,1182,4.9,6.4,88.6,319687.90128276823,178108.21388617714
W01001865,Cardiff 022C,lsoa,1321,150,126,1045,11.4,9.5,79.1,321965.15128197754,178202.9104247234
W01001876,Cardiff 037D,lsoa,1547,234,159,1154,15.1,10.3,74.6,320812.29467152053,177348.12850156237
W01001799,Cardiff 001D,lsoa,1279,157,175,947,12.3,13.7,74.0,318474.7023998587,182283.07708122753
W01001844,Cardiff 003D,lsoa,2028,121,125,1782,6.0,6.2,87.9,320785.69507312286,182065.03534313262
W01001783,Cardiff 026E,lsoa,1268,70,93,1105,5.5,7.3,87.1,313850.8666340961,179335.12842716696
W01001790,Cardiff 023F,lsoa,1187,152,129,906,12.8,10.9,76.3,315265.0054912311,179229.61493339727
W01001757,Cardiff 025C,lsoa,1493,74,96,1323,5.0,6.4,88.6,317275.0227764844,178985.37149432627
W01001774,Cardiff 018D,lsoa,1399,90,125,1184,6.4,8.9,84.6,317099.3418083176,179966.96331610254
W01001733,Cardiff 019B,lsoa,2077,106,172,1799,5.1,8.3,86.6,319266.44970719743,179964.98609239905
W01001812,Cardiff 017C,lsoa,1292,133,121,1038,10.3,9.4,80.3,319881.2394315599,180234.27738073564
W01001806,Cardiff 015D,lsoa,1642,211,191,1240,12.9,11.6,75.5,321317.65130765154,179803.20573472613
W01001867,Cardiff 016B,lsoa,1429,214,157,1058,15.0,11.0,74.0,322497.6754532895,179611.50930539166
