A,B,C,D,E
16453151|Pentwyn Health Centre|05280372|320671|181320|1|200002933594|osgb1000027296989|5|5800241|1|31.8||Brynheulog|Pentwyn, Cardiff|South Glamorgan|CF23 7JD|Caerdydd - Cardiff|02920731466|||||Wilmington Healthcare Ltd|2024-12-01,,,
20365722|Cardiff SE Community Mental Health Team|05280372|319471|176989|1|100100895789|osgb1000027253394|4|5803646|3|18.6|Links Centre|Newport Road|Cardiff|South Glamorgan|CF24 0SZ|Caerdydd - Cardiff|02920335555|||||Wilmington Healthcare Ltd|2024-12-01,,,,
20131429|Ainon Baptist Chruch|06340459|313231|182205|1|10023550297|osgb1000027018380|5|5801339|3|22||||South Glamorgan|CF15|Caerdydd - Cardiff||||Religion|Baptist (Christian)|Ordnance Survey|2024-12-01,,,,
119170201|Mental Health Services for Older People|05280372|317218|176483|1|100100891804|osgb1000027177382|8|5804644|1|44.5|Hayes Place 32|Cowbridge Road East|Riverside, Cardiff|South Glamorgan|CF11 9DU|Caerdydd - Cardiff|02920873010|||||Wilmington Healthcare Ltd|2024-12-01,,,
63702894|Iorwerth Jones Centre|05280372|317885|180931|1||osgb5000005336940558|1|5801987|2|28.5|Trenchard Drive|Lllanishen|Cardiff|South Glamorgan|CF14 5LJ|Caerdydd - Cardiff|02920745730|||||Wilmington Healthcare Ltd|2024-12-01,,,,
16439079|Monmouth House|05280372|317888|179356|1||osgb1000002487128581|1|5801130|3|25.4|||Cardiff|South Glamorgan|CF14|Caerdydd - Cardiff|02920743940|||||Wilmington Healthcare Ltd|2024-12-01,,,,
103906838|Action on Hearing Loss|06350816|317456|176673|1|200002932553|osgb1000027175060|6|5800332|1|25.2|Tudor House 16|Cathedral Road|Pontcanna, Cardiff|South Glamorgan|CF11 9LJ|Caerdydd - Cardiff|02920333034|www.actiononhearingloss.org.uk|Action on Hearing Loss|||Wilmington Healthcare Ltd|2024-12-01,,,
150608113|Fairfields House Care Home|05280373|314896|177161|1|100100072025|osgb1000027036129|5|5800681|1|24.3|85|Ely Road|Llandaff, Cardiff|South Glamorgan|CF5 2BY|Caerdydd - Cardiff|02920651002|||||Wilmington Healthcare Ltd|2024-12-01,,,
103918691|Cathedral View Care Home|05280373|315786.9|178731.7|1|200002932769|osgb5000005191209836|4|5804666|1|68.7||Gabalfa Avenue|Llandaff North, Cardiff|South Glamorgan|CF14 2RU|Caerdydd - Cardiff|02920624030|||||Wilmington Healthcare Ltd|2024-12-01,,,
103918777|St Judes Care Home|05280373|319901.2|177399.3|1||osgb1000027257735|4|5801862|3|20.4|60-64|Stacey Road|Cardiff|South Glamorgan|CF24 1DW|Caerdydd - Cardiff|02920485498|||||Wilmington Healthcare Ltd|2024-12-01,,,,
103903515|Beechley Drive House|05280373|312786|178211|1|100100084457|osgb1000026985624|5|5800119|1|20|6|Beechley Drive|Fairwater, Cardiff|South Glamorgan|CF5 3SF|Caerdydd - Cardiff|02920575290|||||Wilmington Healthcare Ltd|2024-12-01,,,
103903519|Ashcroft House Care Home|05280373|319566|177151|1|200001597310|osgb1000027258136|6|5804599|1|24.5|147-149|Newport Road|Roath, Cardiff|South Glamorgan|CF24 1AG|Caerdydd - Cardiff|02920415400|||||Wilmington Healthcare Ltd|2024-12-01,,,
